Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
M-25-0385_25Dr1_UDP0129-UDP0129_L002_R2_001	89.7919224637371	55.0	257.0	257	50.0	1.2252189999999998
M-25-0386_25Dr3_UDP0130-UDP0130_L002_R1_001	92.3614418642473	57.0	257.0	257	50.0	0.86083
M-25-0386_25Dr3_UDP0130-UDP0130_L002_R2_001	88.31013401727263	55.0	257.0	257	41.66666666666667	0.86083
M-25-0387_25PRr2_UDP0133-UDP0133_L002_R1_001	94.57010290154473	57.0	257.0	257	50.0	0.8679169999999999
M-25-0387_25PRr2_UDP0133-UDP0133_L002_R2_001	91.79771798455383	55.0	257.0	257	41.66666666666667	0.8679169999999999
M-25-0388_25Sr1_UDP0131-UDP0131_L002_R1_001	91.29784231981718	58.0	257.0	257	50.0	0.562734
M-25-0388_25Sr1_UDP0131-UDP0131_L002_R2_001	87.8605166917229	56.0	257.0	257	50.0	0.562734
M-25-0389_25Sr2_UDP0132-UDP0132_L002_R1_001	93.82698020738306	57.0	257.0	257	41.66666666666667	1.1367369999999999
M-25-0389_25Sr2_UDP0132-UDP0132_L002_R2_001	91.17549046700023	55.0	257.0	257	41.66666666666667	1.1367369999999999
M-25-0390_26Dr1_UDP0134-UDP0134_L002_R1_001	92.69254785367663	56.0	257.0	257	50.0	0.6309859999999999
M-25-0390_26Dr1_UDP0134-UDP0134_L002_R2_001	91.40361275844472	54.0	257.0	257	41.66666666666667	0.6309859999999999
M-25-0391_26Dr2_UDP0135-UDP0135_L002_R1_001	93.77647503025241	55.0	257.0	257	50.0	0.7495269999999999
M-25-0391_26Dr2_UDP0135-UDP0135_L002_R2_001	89.87548147031394	53.0	257.0	257	41.66666666666667	0.7495269999999999
M-25-0392_26Dr3_UDP0136-UDP0136_L002_R1_001	92.69213321578664	57.0	257.0	257	50.0	0.9346639999999999
M-25-0392_26Dr3_UDP0136-UDP0136_L002_R2_001	89.75631884827061	55.0	257.0	257	50.0	0.9346639999999999
M-25-0393_26PRr2_UDP0139-UDP0139_L002_R1_001	93.96507694192368	55.0	257.0	257	50.0	0.5305949999999999
M-25-0393_26PRr2_UDP0139-UDP0139_L002_R2_001	91.58887663849075	54.0	257.0	257	41.66666666666667	0.5305949999999999
M-25-0394_26PRr3_UDP0140-UDP0140_L002_R1_001	91.37621565957201	55.0	257.0	257	50.0	0.207809
M-25-0394_26PRr3_UDP0140-UDP0140_L002_R2_001	89.17515603270311	54.0	257.0	257	50.0	0.207809
M-25-0395_26Sr2_UDP0137-UDP0137_L002_R1_001	93.93587794836228	56.0	257.0	257	50.0	0.9256409999999999
M-25-0395_26Sr2_UDP0137-UDP0137_L002_R2_001	91.5428335607433	54.0	257.0	257	50.0	0.9256409999999999
M-25-0396_26Sr3_UDP0138-UDP0138_L002_R1_001	93.75387797311272	56.0	257.0	257	41.66666666666667	0.86063
M-25-0396_26Sr3_UDP0138-UDP0138_L002_R2_001	91.34482878821328	54.0	257.0	257	41.66666666666667	0.86063
M-25-0397_27Dr1_UDP0141-UDP0141_L002_R1_001	92.4095123714333	57.0	257.0	257	41.66666666666667	1.054122
M-25-0397_27Dr1_UDP0141-UDP0141_L002_R2_001	90.68419025501792	55.0	257.0	257	50.0	1.054122
M-25-0398_27Dr3_UDP0142-UDP0142_L002_R1_001	91.77137739146488	57.0	257.0	257	50.0	0.801653
M-25-0398_27Dr3_UDP0142-UDP0142_L002_R2_001	89.81042920066413	55.0	257.0	257	50.0	0.801653
M-25-0399_27PRr1_UDP0145-UDP0145_L002_R1_001	94.28977407659548	55.0	257.0	257	50.0	1.010608
M-25-0399_27PRr1_UDP0145-UDP0145_L002_R2_001	91.84797666355303	54.0	257.0	257	50.0	1.010608
M-25-0400_27PRr2_UDP0146-UDP0146_L002_R1_001	94.24666943516691	55.0	257.0	257	33.33333333333333	1.016194
M-25-0400_27PRr2_UDP0146-UDP0146_L002_R2_001	92.01166312731624	53.0	257.0	257	50.0	1.016194
M-25-0401_27Sr2_UDP0143-UDP0143_L002_R1_001	94.08441155479409	55.0	257.0	257	50.0	0.923357
