Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
M-25-0354_16PRr3_UDP0083-UDP0083_L002_R2_001	M-25-0354_16PRr3_UDP0083-UDP0083_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1416432.0	0.0	257.0	53.0	6.844663210094096	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0355_16Sr1_UDP0080-UDP0080_L002_R1_001	M-25-0355_16Sr1_UDP0080-UDP0080_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	335015.0	0.0	257.0	55.0	6.5982120203572965	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0355_16Sr1_UDP0080-UDP0080_L002_R2_001	M-25-0355_16Sr1_UDP0080-UDP0080_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	335015.0	0.0	257.0	54.0	11.725146635225288	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0356_17Dr1_UDP0084-UDP0084_L002_R1_001	M-25-0356_17Dr1_UDP0084-UDP0084_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186796.0	0.0	257.0	58.0	11.50559969164222	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	pass	fail
M-25-0356_17Dr1_UDP0084-UDP0084_L002_R2_001	M-25-0356_17Dr1_UDP0084-UDP0084_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186796.0	0.0	257.0	55.0	15.453221696396069	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0357_17Dr3_UDP0085-UDP0085_L002_R1_001	M-25-0357_17Dr3_UDP0085-UDP0085_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200142.0	0.0	257.0	57.0	11.135593728452799	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0357_17Dr3_UDP0085-UDP0085_L002_R2_001	M-25-0357_17Dr3_UDP0085-UDP0085_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	200142.0	0.0	257.0	55.0	13.938603591450072	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0358_17PRr2_UDP0089-UDP0089_L002_R1_001	M-25-0358_17PRr2_UDP0089-UDP0089_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	731595.0	0.0	257.0	55.0	5.227619106199468	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0358_17PRr2_UDP0089-UDP0089_L002_R2_001	M-25-0358_17PRr2_UDP0089-UDP0089_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	731595.0	0.0	257.0	53.0	7.8665108427476955	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0359_18PRr1_UDP0094-UDP0094_L002_R1_001	M-25-0359_18PRr1_UDP0094-UDP0094_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000984.0	0.0	257.0	55.0	5.028452003228823	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0359_18PRr1_UDP0094-UDP0094_L002_R2_001	M-25-0359_18PRr1_UDP0094-UDP0094_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1000984.0	0.0	257.0	54.0	7.180434452498741	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0360_18PRr2_UDP0095-UDP0095_L002_R1_001	M-25-0360_18PRr2_UDP0095-UDP0095_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1635357.0	0.0	257.0	54.0	3.3669712484796896	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0360_18PRr2_UDP0095-UDP0095_L002_R2_001	M-25-0360_18PRr2_UDP0095-UDP0095_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1635357.0	0.0	257.0	53.0	5.904582302212911	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
M-25-0361_18Sr1_UDP0092-UDP0092_L002_R1_001	M-25-0361_18Sr1_UDP0092-UDP0092_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77346.0	0.0	257.0	57.0	14.856618312517778	257.0	257	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0361_18Sr1_UDP0092-UDP0092_L002_R2_001	M-25-0361_18Sr1_UDP0092-UDP0092_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77346.0	0.0	257.0	55.0	12.736275954800508	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0362_18Sr2_UDP0093-UDP0093_L002_R1_001	M-25-0362_18Sr2_UDP0093-UDP0093_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	310788.0	0.0	257.0	57.0	9.473982264437494	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	fail
M-25-0362_18Sr2_UDP0093-UDP0093_L002_R2_001	M-25-0362_18Sr2_UDP0093-UDP0093_L002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	310788.0	0.0	257.0	56.0	9.885195052576034	257.0	257	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	pass	warn
