contrast	genus	mean_clr_difference
Rhizosphere-Deep	Lysinibacillus	1.238105899
Rhizosphere-Deep	Deinococcus	-0.7325640654
Rhizosphere-Deep	Rubellimicrobium	-0.2131144625
Rhizosphere-Deep	Geodermatophilus	-1.025179183
Rhizosphere-Deep	Ramlibacter	-0.04949047065
Rhizosphere-Deep	Ectobacillus	-0.3642926326
Rhizosphere-Deep	Acidiferrimicrobium	-1.530129392
Rhizosphere-Deep	Neobacillus	0.1135244386
Rhizosphere-Deep	Planococcus	1.988989893
Rhizosphere-Deep	Nibribacter	1.74847752
Rhizosphere-Deep	Bradyrhizobium	-2.17683423
Rhizosphere-Deep	Adhaeribacter	-0.04646033381
Rhizosphere-Deep	Metabacillus	0.9862517007
Rhizosphere-Deep	Solirubrobacter	-1.120957417
Rhizosphere-Deep	Ellin6055	-0.4650187416
Rhizosphere-Deep	Halomonas	0.682988498
Rhizosphere-Deep	Symbiobacterium	-1.759959033
Rhizosphere-Deep	Arthrobacter	1.131293092
Rhizosphere-Deep	Sphingoaurantiacus	0.4310741387
Rhizosphere-Deep	Blastococcus	-1.154811077
Rhizosphere-Deep	Nitrolancea	-1.069014893
Rhizosphere-Deep	Pontibacter	0.909513579
Rhizosphere-Deep	Tumebacillus	0.1532215292
Rhizosphere-Deep	Roseomonas	0.8707935094
Rhizosphere-Deep	CSP1-2	-1.138263038
Rhizosphere-Deep	Chthoniobacter	0.2633415551
Rhizosphere-Deep	Pseudomonas	1.874624983
Rhizosphere-Deep	Aeromonas	-0.1158324125
Rhizosphere-Deep	Pseudonocardia	-0.1187454499
Rhizosphere-Deep	Lysobacter	-0.3503764305
Rhizosphere-Deep	Cytophaga	0.1284503261
Rhizosphere-Deep	Saccharopolyspora	-0.1500658493
Rhizosphere-Deep	Archangium	-0.1630512027
Rhizosphere-Deep	Actinomadura	-0.3961341328
Rhizosphere-Deep	Cellulomonas	-0.42505023
Rhizosphere-Deep	Pirellula	-0.3548970589
Rhizosphere-Deep	Segetibacter	0.02182810008
Rhizosphere-Deep	Halalkalibacter	0.1094961689
Rhizosphere-Deep	Chelativorans	0.7816954307
Rhizosphere-Deep	Oxalophagus	-1.785071582
Rhizosphere-Deep	Steroidobacter	-0.6549329277
Rhizosphere-Deep	Devosia	1.945856575
Rhizosphere-Deep	Gemmatimonas	-0.7776176403
Rhizosphere-Deep	Gaiella	-1.936955985
Rhizosphere-Deep	Phenylobacterium	0.2630313005
Rhizosphere-Deep	Cnuella	0.3861013227
Rhizosphere-Deep	Aquibacillus	0.5144171998
Rhizosphere-Deep	Prauserella	0.573793254
Rhizosphere-Deep	Roseisolibacter	-0.9832143746
Rhizosphere-Deep	Vallicoccus	-1.049778661
Rhizosphere-Deep	Verrucosispora	-0.5021132824
Rhizosphere-Deep	Azospirillum	1.449825388
Rhizosphere-Deep	Sphingomonas	-0.4810500027
Rhizosphere-Deep	Telluribacter	1.404692706
Rhizosphere-Deep	Mycobacterium	0.5700606721
Rhizosphere-Deep	Acidibacter	-0.9265332467
Rhizosphere-Deep	Brucella	0.388816562
Rhizosphere-Deep	Pir4 lineage	0.03886888344
Rhizosphere-Deep	MND1	-2.034607383
Rhizosphere-Deep	Croceibacterium	0.8675801007
Rhizosphere-Deep	Marmoricola	-1.038711017
Rhizosphere-Deep	Daejeonella	0.8885867662
Rhizosphere-Deep	Bryobacter	-0.14483722
Rhizosphere-Deep	Pedomicrobium	-0.5352222025
Rhizosphere-Deep	Opitutus	-0.7063487095
Rhizosphere-Deep	Escherichia-Shigella	-0.07469411347
Rhizosphere-Deep	Sediminibacillus	0.4093255556
Rhizosphere-Deep	DSSF69	1.45690927
Rhizosphere-Deep	Terribacillus	0.8615607762
Rhizosphere-Deep	Peredibacter	-0.01195710275
Rhizosphere-Deep	Subgroup 10	-0.5259584708
Rhizosphere-Deep	Limnobacter	-0.9893795151
Rhizosphere-Deep	Nitrospira	-2.005025624
Rhizosphere-Deep	Truepera	-0.1940672749
Rhizosphere-Deep	Kallotenue	-1.132276746
Rhizosphere-Deep	Litchfieldia	0.8914566908
Rhizosphere-Deep	Novosphingobium	0.7345205125
Rhizosphere-Deep	Sporocytophaga	-0.4171189347
Rhizosphere-Deep	OM27 clade	-0.3025563807
Rhizosphere-Deep	Arenimicrobium	-0.91692807
Rhizosphere-Deep	Kocuria	0.4814343223
Rhizosphere-Deep	Parviterribacter	-1.166365481
Rhizosphere-Deep	Arcticibacter	1.339567066
Rhizosphere-Deep	Roseicella	0.1460368639
Rhizosphere-Deep	Nitrosomonas	-0.5742830263
Rhizosphere-Deep	Actinophytocola	-0.0743608241
Rhizosphere-Deep	Mesobacillus	0.3302253976
Rhizosphere-Deep	Dongia	-0.6078330671
Rhizosphere-Deep	Lautropia	-1.083276122
Rhizosphere-Deep	Saccharibacillus	1.258051647
Rhizosphere-Deep	Brevibacillus	-0.6735336522
Rhizosphere-Deep	Rhodocista	1.631365466
Rhizosphere-Deep	Pelagibacterium	2.365776476
Rhizosphere-Deep	Caulobacter	0.8619774084
Rhizosphere-Deep	Baekduia	-0.792383272
Rhizosphere-Deep	Isoptericola	1.355459533
Rhizosphere-Deep	Saccharomonospora	0.3618844893
Rhizosphere-Deep	Gemmata	-0.4248507424
Rhizosphere-Deep	Pantoea	1.62655598
Rhizosphere-Deep	Georgenia	1.012104926
Rhizosphere-Deep	Kineococcus	0.7344394536
Rhizosphere-Deep	Streptococcus	-0.05036880078
Rhizosphere-Deep	Glycomyces	-0.3452904336
Rhizosphere-Deep	Conexibacter	-1.175419698
Rhizosphere-Deep	TM7a	2.008785449
Rhizosphere-Deep	Blastocatella	-0.9306714986
Rhizosphere-Deep	Cystobacter	-0.9406836216
Rhizosphere-Deep	Niallia	0.4476907118
Rhizosphere-Deep	[Polyangium] brachysporum group	0.1709863545
Rhizosphere-Deep	Saccharothrix	-0.4295719993
Rhizosphere-Deep	Amycolatopsis	1.103220658
Rhizosphere-Deep	Falsirhodobacter	1.380893951
Rhizosphere-Deep	Gracilibacillus	0.6140549299
Rhizosphere-Deep	Rubritepida	-0.8494338891
Rhizosphere-Deep	Methylobacillus	0.5635268736
Rhizosphere-Deep	Caenimonas	-0.4959965823
Rhizosphere-Deep	Aridibacter	-1.029792445
Rhizosphere-Deep	Oceanobacillus	0.2780609258
Rhizosphere-Deep	SH-PL14	0.4660420124
Rhizosphere-Deep	Brevundimonas	1.952101003
Rhizosphere-Deep	Neorhizobium	1.763617708
Rhizosphere-Deep	Turicibacter	0.05026025169
Rhizosphere-Deep	Sumerlaea	-0.3057550435
Rhizosphere-Deep	Polycyclovorans	-1.081274825
Rhizosphere-Deep	Thermosipho	-1.9869258
Rhizosphere-Deep	Limibaculum	-0.006009780803
Rhizosphere-Deep	Corynebacterium	-0.5624348696
Rhizosphere-Deep	YC-ZSS-LKJ147	-0.1135822624
Rhizosphere-Deep	Pajaroellobacter	-0.05706376443
Rhizosphere-Deep	Phaselicystis	-0.9625458892
Rhizosphere-Deep	Luteitalea	-0.4180778645
Rhizosphere-Deep	Myxococcus	-0.1066145048
Rhizosphere-Deep	Aeromicrobium	-0.2544123044
