trip	site	shannon	expected_richness_25k	normalized_evenness	temperature_c	pressure_mbar	relative_humidity_pct	transect_km
4	36	6.246581827	1720.849295	0.8396444978	39.28		31.8	122.2237697
4	37	6.09658655	1811.752507	0.8129539689	39.44		23.2	143.4054133
4	38	6.111081007	1723.373642	0.8236592966	41.06		20	146.1476077
4	39	5.696279867	1145.197347	0.8186882529	42.44		19.5	170.4835934
4	40	5.932719851	1139.613436	0.8429405119	42.06		19	194.6749641
4	41	5.745235431	1199.587183	0.8174209005	43.17		17	206.9146237
4	42	4.914683143	669.6002772	0.8329397339	43.67		16.2	225.5104191
4	43	5.002665739	707.0497123	0.7701858255	42.78		17	236.0478339
4	44	6.343370178	1563.44486	0.8642166375	41.94		18	255.1948189
4	45	6.345202536	1606.840518	0.8599205954	40.94		17.1	261.0075307
4	46	5.046608525	837.0934217	0.8113629793	44		15.7	281.5198373
4	47	5.184496749	819.7929083	0.8040070559	42.94		15.3	301.7956702
4	48	4.992987831	1422.623319	0.8619424591	42.5		18.2	325.4860432
4	49	5.05915549	773.2671558	0.8031943716	44		14.4	346.9345123
4	50	5.123933987	1086.663963	0.7309205822	35.61		25.1	361.0995833
4	51	5.394385807	821.4627037	0.810018384	36.11		25	370.4731391
4	52	2.963349004	220.7733297	0.8215601851	36.28		25.5	389.9085155
4	53	1.434699657	30.59586348	0.5489644802	42.61		17.5	399.3720026
4	54	3.082572567	287.5766855	0.7955517749	42.5		17.5	421.7455418
4	55	3.091876354	137.4789396	0.6412033576	40.72		20	425.5232533
4	56	2.631035939	279.2312104	0.4974860412	40.44		21.4	446.6704889
4	57	4.296198765	283.2180759	0.8151917938	42.78		18	464.8588197
4	58	2.199711386	48.54163322	0.6833207058	43.5		15	481.5214344
4	59	3.446452273	674.2390482	0.6283524613	43		14.9	485.7169022
