sample	weighted_NSTI
e0395_26Sr2	0.1388884238824341
e0396_26Sr3	0.1359268369549665
e0397_27Dr1	0.2678501438411886
e0398_27Dr3	0.2686126445626078
e0399_27PRr1	0.1067171942532473
e0400_27PRr2	0.1027131430451977
e0401_27Sr2	0.1141432059601465
e0402_27Sr3	0.1224216260773111
e0403_28Dr1	0.3388130444944042
e0404_28Dr3	0.3355378478261325
e0405_28PRr3	0.1459794912091531
e0406_28Sr2	0.1382534841857137
e0407_28Sr3	0.1576559479756057
e0408_29Dr1	0.2437617431335668
e0409_29Dr2	0.2640226205903772
e0410_29Dr3	0.2761696332721828
e0411_29PRr1	0.2505600773736766
e0412_29PRr3	0.2475072539241739
e0413_29Sr1	0.2258750045453279
e0414_2Dr1	0.2534901527636612
e0415_2Dr3	0.2479350403146002
e0416_2PRr2	0.0978303860166114
e0417_2Sr3	0.1366113892934734
e0418_30Dr1	0.2287677759337494
e0419_30PRr1	0.1911622527659154
e0420_30PRr3	0.1150662879779159
e0421_30Sr1	0.1470285413033465
e0422_30Sr3	0.1611967920593019
e0423_31Dr2	0.3185658627608241
e0424_31PRr2	0.0973275011292388
e0425_31PRr3	0.1206698501092889
e0426_31Sr2	0.1868741077323528
e0427_32PRr2	0.3512657970007256
e0428_33Dr2	0.1434898843183033
e0429_33PRr1	0.1826089497603782
e0430_33PRr2	0.1285492863457363
e0431_33Sr1	0.2041385516162607
e0432_34Dr2	0.2142022443905941
e0433_34PRr1	0.1679576481306795
e0434_34PRr3	0.1749054801126414
e0435_34Sr1	0.1825299569558835
e0436_34Sr3	0.1769516800863965
e0437_35Dr2	0.2852097911578578
e0438_35Dr3	0.2777744205699881
e0439_35Sr2	0.1631535869269188
e0440_36Dr2	0.3510778509553925
e0441_36Dr3	0.3447817456241084
e0442_36Sr3	0.2050071930801228
e0443_37Dr2	0.217979586951239
e0444_37Dr3	0.2216678666716456
e0445_37PRr2	0.1274734745132785
e0446_37PRr3	0.1075555457600036
e0447_37Sr1	0.1878155292993399
e0448_37Sr2	0.1908089063274832
e0449_38Dr2	0.2278008856145303
e0450_38Dr3	0.2343300892700855
e0451_38PRr2	0.1381382602489033
e0452_38Sr2	0.2198572438994507
e0453_39Dr2	0.0801816882513754
e0454_39PRr1	0.1457993920446124
e0455_39PRr3	0.1303010065185577
e0456_39Sr3	0.1700269409426135
e0457_3Dr2	0.2055868488664424
e0458_3PRr1	0.1314645466192491
e0459_3PRr3	0.0530664567165883
e0460_40Dr1	0.1978609109147298
e0461_40Dr2	0.1840893400568894
e0462_40PRr2	0.18138771009957
e0463_41PRr2	0.2737969044999409
e0464_42Dr1	0.251839974692327
e0466_42PRr1	0.1164109127655687
e0467_42PRr2	0.1196119691033961
e0468_42Sr1	0.1862335838898529
e0469_42Sr2	0.1580841385064512
e0470_43Dr1	0.1796429402903503
e0471_43Dr2	0.1541553015713644
e0472_43PRr2	0.169973267624295
e0473_43Sr2	0.1658747880240398
e0474_44Dr2	0.1851861888923094
e0475_44PRr3	0.1800474738744879
e0476_45Dr3	0.3032325925718799
e0477_45PRr2	0.1731987126335835
e0478_46PRr1	0.1523558730477515
e0480_47Dr2	0.2139442809286364
e0481_47Dr3	0.2646638007718146
e0482_47PRr1	0.1654803187123119
e0483_47Sr1	0.284081037901722
e0484_48Dr2	0.1411626757165771
e0486_48Sr2	0.2133686518443048
e0487_49Dr2	0.1676030872379356
e0488_49Sr2	0.2161171008414049
e0489_49Sr3	0.1899313545608282
e0490_4Dr3	0.1907543633976493
e0491_4PRr1	0.1411032253082001
e0492_4PRr2	0.1588203929189041
e0493_4PRr3	0.1614301839428352
e0494_4Sr1	0.1243657235095962
e0495_50Dr1	0.1395864505432122
e0496_50Dr2	0.2748483621466434
e0497_50PRr2	0.2085650450771531
e0498_50Sr1	0.2753587981388925
e0499_50Sr3	0.2875138105822882
e0500_51Dr1	0.2078278505888197
e0501_51Dr3	0.2595830100453962
e0502_51PRr3	0.0838487078614634
e0503_52Dr1	0.0924839534052017
e0504_53Dr2	0.6873612329153249
e0505_53Dr3	0.1807531505946519
e0506_53PRr2	0.2096190504975454
e0507_54PRr1	0.2810890162000796
e0508_54PRr2	0.3099297947147834
e0509_54PRr3	0.1559417131393182
e0510_54Sr1	0.2512078970345963
e0511_54Sr2	0.0957754472654587
e0512_54Sr3	0.2966712342623657
e0513_55Dr2	0.128993826346369
e0514_55PRr3	0.0867832865904175
e0515_55Sr3	0.1299629035081952
e0516_56Dr1	0.1155793123881306
e0517_56Dr3	0.181014959312704
