picrust2_col	sample_id	trip	site	compartment	replicate	extraction_suffix	biome	feature	date	coordinates	is_control	duplicate_run
e0507_54PRr1	54PRr1	1	54.0	plant_rhizosphere	1.0		desert biome	aeolian lake	20/03/2023	20.92017888888889 N,53.962204444444446 E	False	False
e0508_54PRr2	54PRr2	1	54.0	plant_rhizosphere	2.0		desert biome	aeolian lake	20/03/2023	20.92017888888889 N,53.962204444444446 E	False	False
e0509_54PRr3	54PRr3	1	54.0	plant_rhizosphere	3.0		desert biome	aeolian lake	20/03/2023	20.92017888888889 N,53.962204444444446 E	False	False
e0510_54Sr1	54Sr1	1	54.0	surface	1.0		desert biome	aeolian lake	20/03/2023	20.92017888888889 N,53.962204444444446 E	False	False
e0511_54Sr2	54Sr2	1	54.0	surface	2.0		desert biome	aeolian lake	20/03/2023	20.92017888888889 N,53.962204444444446 E	False	False
e0512_54Sr3	54Sr3	1	54.0	surface	3.0		desert biome	aeolian lake	20/03/2023	20.92017888888889 N,53.962204444444446 E	False	False
e0513_55Dr2	55Dr2	1	55.0	deep	2.0		desert biome	saline pan	20/03/2023	20.9022725 N,54.0024376 E	False	False
e0514_55PRr3	55PRr3	1	55.0	plant_rhizosphere	3.0		desert biome	saline pan	20/03/2023	20.9022725 N,54.0024376 E	False	False
e0515_55Sr3	55Sr3	1	55.0	surface	3.0		desert biome	saline pan	20/03/2023	20.9022725 N,54.0024376 E	False	False
e0516_56Dr1	56Dr1	1	56.0	deep	1.0		desert biome	saline pan	20/03/2023	20.821580833333332 N,54.22385916666667 E	False	False
e0517_56Dr3	56Dr3	1	56.0	deep	3.0		desert biome	saline pan	20/03/2023	20.821580833333332 N,54.22385916666667 E	False	False
