sampleID	forwardReads	reverseReads	run	source_sample_name	biosample_accession	experiment_accession	library_name	bioproject	umbrella_project	campaign	compartment	is_control	in_ledger
S20PRr1	${EQ_READS_DIR}/ERR16061239_1.fastq.gz	${EQ_READS_DIR}/ERR16061239_2.fastq.gz	ERR16061239	S20PRr1	ERS28392505	ERX15451421	S20PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S20Sr1	${EQ_READS_DIR}/ERR16061240_1.fastq.gz	${EQ_READS_DIR}/ERR16061240_2.fastq.gz	ERR16061240	S20Sr1	ERS28392506	ERX15451422	S20Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S21Dr1	${EQ_READS_DIR}/ERR16061241_1.fastq.gz	${EQ_READS_DIR}/ERR16061241_2.fastq.gz	ERR16061241	S21Dr1	ERS28392507	ERX15451423	S21Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S21PRr1	${EQ_READS_DIR}/ERR16061242_1.fastq.gz	${EQ_READS_DIR}/ERR16061242_2.fastq.gz	ERR16061242	S21PRr1	ERS28392508	ERX15451424	S21PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S21Sr1	${EQ_READS_DIR}/ERR16061243_1.fastq.gz	${EQ_READS_DIR}/ERR16061243_2.fastq.gz	ERR16061243	S21Sr1	ERS28392509	ERX15451425	S21Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S22Dr1	${EQ_READS_DIR}/ERR16061244_1.fastq.gz	${EQ_READS_DIR}/ERR16061244_2.fastq.gz	ERR16061244	S22Dr1	ERS28392510	ERX15451426	S22Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S22PRr1	${EQ_READS_DIR}/ERR16061245_1.fastq.gz	${EQ_READS_DIR}/ERR16061245_2.fastq.gz	ERR16061245	S22PRr1	ERS28392511	ERX15451427	S22PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S22Sr1	${EQ_READS_DIR}/ERR16061246_1.fastq.gz	${EQ_READS_DIR}/ERR16061246_2.fastq.gz	ERR16061246	S22Sr1	ERS28392512	ERX15451428	S22Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S23Dr1	${EQ_READS_DIR}/ERR16061247_1.fastq.gz	${EQ_READS_DIR}/ERR16061247_2.fastq.gz	ERR16061247	S23Dr1	ERS28392513	ERX15451429	S23Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
S23PRr1	${EQ_READS_DIR}/ERR16061248_1.fastq.gz	${EQ_READS_DIR}/ERR16061248_2.fastq.gz	ERR16061248	S23PRr1	ERS28392514	ERX15451430	S23PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Rhizosphere	False	True
S23Sr1	${EQ_READS_DIR}/ERR16061249_1.fastq.gz	${EQ_READS_DIR}/ERR16061249_2.fastq.gz	ERR16061249	S23Sr1	ERS28392515	ERX15451431	S23Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Surface	False	True
S24Dr1	${EQ_READS_DIR}/ERR16061250_1.fastq.gz	${EQ_READS_DIR}/ERR16061250_2.fastq.gz	ERR16061250	S24Dr1	ERS28392516	ERX15451432	S24Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip4	Deep	False	True
