sampleID,forwardReads,reverseReads,run
S38Dr1,${EQ_READS_DIR}/ERR16061291_1.fastq.gz,${EQ_READS_DIR}/ERR16061291_2.fastq.gz,ERR16061291
S38PRr1,${EQ_READS_DIR}/ERR16061292_1.fastq.gz,${EQ_READS_DIR}/ERR16061292_2.fastq.gz,ERR16061292
S38Sr1,${EQ_READS_DIR}/ERR16061293_1.fastq.gz,${EQ_READS_DIR}/ERR16061293_2.fastq.gz,ERR16061293
S39Dr1,${EQ_READS_DIR}/ERR16061294_1.fastq.gz,${EQ_READS_DIR}/ERR16061294_2.fastq.gz,ERR16061294
S39PRr1,${EQ_READS_DIR}/ERR16061295_1.fastq.gz,${EQ_READS_DIR}/ERR16061295_2.fastq.gz,ERR16061295
S39Sr1,${EQ_READS_DIR}/ERR16061296_1.fastq.gz,${EQ_READS_DIR}/ERR16061296_2.fastq.gz,ERR16061296
S40Dr1,${EQ_READS_DIR}/ERR16061297_1.fastq.gz,${EQ_READS_DIR}/ERR16061297_2.fastq.gz,ERR16061297
S40Sr1,${EQ_READS_DIR}/ERR16061298_1.fastq.gz,${EQ_READS_DIR}/ERR16061298_2.fastq.gz,ERR16061298
S41Dr1,${EQ_READS_DIR}/ERR16061299_1.fastq.gz,${EQ_READS_DIR}/ERR16061299_2.fastq.gz,ERR16061299
S41PRr1,${EQ_READS_DIR}/ERR16061300_1.fastq.gz,${EQ_READS_DIR}/ERR16061300_2.fastq.gz,ERR16061300
S41Sr1,${EQ_READS_DIR}/ERR16061301_1.fastq.gz,${EQ_READS_DIR}/ERR16061301_2.fastq.gz,ERR16061301
S42Dr1,${EQ_READS_DIR}/ERR16061302_1.fastq.gz,${EQ_READS_DIR}/ERR16061302_2.fastq.gz,ERR16061302
S42PRr1,${EQ_READS_DIR}/ERR16061303_1.fastq.gz,${EQ_READS_DIR}/ERR16061303_2.fastq.gz,ERR16061303
S42Sr1,${EQ_READS_DIR}/ERR16061304_1.fastq.gz,${EQ_READS_DIR}/ERR16061304_2.fastq.gz,ERR16061304
S43Dr1,${EQ_READS_DIR}/ERR16061305_1.fastq.gz,${EQ_READS_DIR}/ERR16061305_2.fastq.gz,ERR16061305
S43PRr1,${EQ_READS_DIR}/ERR16061306_1.fastq.gz,${EQ_READS_DIR}/ERR16061306_2.fastq.gz,ERR16061306
S43Sr1,${EQ_READS_DIR}/ERR16061307_1.fastq.gz,${EQ_READS_DIR}/ERR16061307_2.fastq.gz,ERR16061307
S44Dr1,${EQ_READS_DIR}/ERR16061308_1.fastq.gz,${EQ_READS_DIR}/ERR16061308_2.fastq.gz,ERR16061308
S44PRr1,${EQ_READS_DIR}/ERR16061309_1.fastq.gz,${EQ_READS_DIR}/ERR16061309_2.fastq.gz,ERR16061309
S44Sr1,${EQ_READS_DIR}/ERR16061310_1.fastq.gz,${EQ_READS_DIR}/ERR16061310_2.fastq.gz,ERR16061310
S45Dr1,${EQ_READS_DIR}/ERR16061311_1.fastq.gz,${EQ_READS_DIR}/ERR16061311_2.fastq.gz,ERR16061311
S45PRr1,${EQ_READS_DIR}/ERR16061312_1.fastq.gz,${EQ_READS_DIR}/ERR16061312_2.fastq.gz,ERR16061312
S45Sr1,${EQ_READS_DIR}/ERR16061313_1.fastq.gz,${EQ_READS_DIR}/ERR16061313_2.fastq.gz,ERR16061313
S46Dr1,${EQ_READS_DIR}/ERR16061314_1.fastq.gz,${EQ_READS_DIR}/ERR16061314_2.fastq.gz,ERR16061314
S46PRr1,${EQ_READS_DIR}/ERR16061315_1.fastq.gz,${EQ_READS_DIR}/ERR16061315_2.fastq.gz,ERR16061315
S46Sr1,${EQ_READS_DIR}/ERR16061316_1.fastq.gz,${EQ_READS_DIR}/ERR16061316_2.fastq.gz,ERR16061316
