	depth	richness_raw	richness_rare	shannon	pielou	Trip	Site	Type	Season
e0345_15Dr3	1181250.0	4279	3050.563041885134	6.994425090186135	0.8717878695539725	1	15	Deep	Spring
e0346_15PRr1	532453.0	1663	1319.2673021227092	5.823197510047107	0.8104848773667658	1	15	Rhizosphere	Spring
e0347_15PRr2	909284.0	1999	1396.2277914279136	5.897749197947201	0.8144341942183684	1	15	Rhizosphere	Spring
e0348_15PRr3	594206.0	1989	1533.9055809679471	6.018732395974543	0.8204857158857125	1	15	Rhizosphere	Spring
e0349_15Sr1	900509.0	2282	1934.985042294426	6.4208930548475704	0.8484429419700726	1	15	Surface	Spring
e0350_15Sr3	71452.0	959	949.6123421540797	5.844197926721537	0.8524142404283636	1	15	Surface	Spring
e0351_16Dr1	416803.0	2073	1848.6849356651137	6.438471986347724	0.8559259874608959	1	16	Deep	Spring
e0352_16Dr3	120288.0	1203	1176.1221598471168	6.1486342251688795	0.8696822288198549	1	16	Deep	Spring
e0353_16PRr2	869078.0	2607	1724.5980493655027	5.606218613444918	0.7522349668844268	1	16	Rhizosphere	Spring
e0354_16PRr3	822232.0	2000	1333.2909314791723	5.128827924199012	0.7127920572216517	1	16	Rhizosphere	Spring
e0355_16Sr1	214146.0	861	804.7028303664246	4.805189136725123	0.7182136595761904	1	16	Surface	Spring
e0356_17Dr1	133041.0	1799	1741.191279759367	6.679286079105272	0.8950677244408248	1	17	Deep	Spring
e0357_17Dr3	145553.0	1943	1840.0729286697904	6.685333792841877	0.8892956440075399	1	17	Deep	Spring
e0358_17PRr2	218408.0	753	678.0353070664469	4.991549885889936	0.7656691579427755	1	17	Rhizosphere	Spring
e0359_18PRr1	701029.0	1316	1016.2272022375648	5.215840478940354	0.7533148177698971	1	18	Rhizosphere	Spring
e0360_18PRr2	554215.0	551	414.19608181547494	3.421212613317964	0.5677099040649648	1	18	Rhizosphere	Spring
e0361_18Sr1	41294.0	450	449.8055287779168	5.204226073093584	0.8519206738188618	1	18	Surface	Spring
e0362_18Sr2	188918.0	537	525.315257255661	5.286214098946733	0.8439041034036959	1	18	Surface	Spring
e0363_19Dr2	141570.0	1441	1369.9440302607472	6.134222166334685	0.8493182130775254	1	19	Deep	Spring
e0364_1Dr1	80130.0	1651	1619.9454277649559	6.669304419200758	0.9024588753638778	1	1	Deep	Spring
e0365_1Dr2	127644.0	1706	1653.304974759498	6.642350414136711	0.8963392630795416	1	1	Deep	Spring
e0366_1PRr2	234664.0	2335	2150.9368988551632	6.8110574445154	0.8875893010292409	1	1	Rhizosphere	Spring
e0367_1PRr3	186884.0	2377	2200.7994325478894	6.715934327655664	0.8725872868324048	1	1	Rhizosphere	Spring
e0368_1Sr1	466832.0	1822	1619.4523896465182	6.278563061630953	0.8496205904186462	1	1	Surface	Spring
e0369_1Sr3	448797.0	2479	1959.7779518724246	6.356868364296517	0.8385721080076274	1	1	Surface	Spring
e0370_20Dr2	227053.0	1421	1262.8515342930395	5.444631464419603	0.7624330211944336	1	20	Deep	Spring
e0371_20PRr1	431003.0	1965	1632.0532065094603	5.426811828621604	0.7335914525864161	1	20	Rhizosphere	Spring
e0372_20PRr2	403872.0	2551	2066.487771107877	6.178252245555574	0.8093491431451189	1	20	Rhizosphere	Spring
e0373_21Dr1	355097.0	2038	1728.727804738846	6.127781067748957	0.8219537405921505	1	21	Deep	Spring
e0374_21Sr1	365318.0	2114	1877.754070444227	6.265061805663318	0.8311490699754174	1	21	Surface	Spring
e0375_21Sr2	423925.0	2215	1943.2010557389615	6.29341915757951	0.8311334863931746	1	21	Surface	Spring
e0376_22Dr1	520766.0	1886	1593.5453170663864	6.156266454728585	0.834893285426636	1	22	Deep	Spring
e0377_22Dr2	645847.0	2470	2082.626116134694	6.4713252976341575	0.8468785900818879	1	22	Deep	Spring
e0378_22PRr1	182436.0	1197	1119.2837565083512	5.85723934331827	0.834311779886284	1	22	Rhizosphere	Spring
e0379_22PRr3	473079.0	1511	1246.4379158963193	5.638642377512771	0.79105032338849	1	22	Rhizosphere	Spring
e0380_23Dr1	221753.0	1559	1479.462955289258	6.06905356310698	0.831441616324084	1	23	Deep	Spring
e0381_23Sr2	621961.0	1528	1194.3164945259432	5.210711758903411	0.7354226623059543	1	23	Surface	Spring
e0382_24Dr1	488598.0	1999	1655.511185438167	6.249702043018364	0.8432023447969106	1	24	Deep	Spring
e0383_24Dr2	510802.0	1950	1594.0403364523406	6.229304455537572	0.8447628842180119	1	24	Deep	Spring
e0385_25Dr1	798052.0	3202	2366.802677145973	6.245677333891693	0.8038923917046178	1	25	Deep	Spring
e0386_25Dr3	499676.0	2708	2130.0511804116836	6.440835870975157	0.8404121647662468	1	25	Deep	Spring
e0387_25PRr2	375595.0	1351	1102.612836170705	5.265009395124739	0.7515603498800987	1	25	Rhizosphere	Spring
e0388_25Sr1	376969.0	1526	1420.4942341570727	6.153406882640771	0.8477214788809407	1	25	Surface	Spring
e0389_25Sr2	817704.0	2073	1773.0060459092358	6.110234006110896	0.8168290598783665	1	25	Surface	Spring
e0390_26Dr1	446320.0	1869	1610.3931549145889	6.032096948336406	0.8168886922701938	1	26	Deep	Spring
e0391_26Dr2	498989.0	1805	1542.3821608906476	5.8663581179573585	0.7991134049149561	1	26	Deep	Spring
e0392_26Dr3	574611.0	2410	1942.8875263721875	6.140309634004043	0.8109305261636499	1	26	Deep	Spring
e0393_26PRr2	248983.0	1112	973.6969196956726	5.290613792357813	0.7688616249448583	1	26	Rhizosphere	Spring
e0394_26PRr3	100296.0	768	739.2189018728623	5.277082302718609	0.7988808016731481	1	26	Rhizosphere	Spring
e0395_26Sr2	650203.0	1559	1371.4983573635009	5.605488504709311	0.7759901757915193	1	26	Surface	Spring
e0396_26Sr3	588644.0	1556	1402.921167368631	5.708177584355892	0.7877355641160867	1	26	Surface	Spring
e0397_27Dr1	740948.0	3688	2813.325043332997	7.000027120475883	0.8813799145899619	1	27	Deep	Spring
e0398_27Dr3	564013.0	3196	2699.4054988433686	7.005989695368314	0.886745818531108	1	27	Deep	Spring
e0399_27PRr1	423526.0	2034	1612.4562327261644	5.3997315924699585	0.7311246937366038	1	27	Rhizosphere	Spring
e0400_27PRr2	443610.0	1882	1470.8867924431158	5.249714056183764	0.7197678944836424	1	27	Rhizosphere	Spring
e0401_27Sr2	630451.0	2175	1725.0845113873186	5.687635339799874	0.7631304760858675	1	27	Surface	Spring
e0402_27Sr3	768933.0	2874	2095.144468417341	5.902288329081505	0.7718055119286956	1	27	Surface	Spring
e0403_28Dr1	258543.0	1393	1335.1155195634108	6.348689604596271	0.8821578112324082	1	28	Deep	Spring
e0404_28Dr3	202314.0	1144	1112.9940694064026	6.149125184251804	0.8765919591364784	1	28	Deep	Spring
e0405_28PRr3	495049.0	3181	2366.7531254627133	6.281413260910348	0.8084942060031541	1	28	Rhizosphere	Spring
e0406_28Sr2	514475.0	1936	1562.5359408183892	5.724465452900271	0.778408289076071	1	28	Surface	Spring
e0407_28Sr3	1158070.0	3243	2127.4706821650925	6.049091940007244	0.7894215564410271	1	28	Surface	Spring
e0408_29Dr1	163295.0	992	971.2418007494881	6.083582143261902	0.8844247153954397	1	29	Deep	Spring
e0409_29Dr2	572404.0	1677	1533.2516796934392	6.390687316553075	0.8712420014118798	1	29	Deep	Spring
e0410_29Dr3	433370.0	2099	1922.206978638037	6.584979489082737	0.8708874247019257	1	29	Deep	Spring
