Trip	Site	Type	elemental_pc1
5	2	Rhizosphere	0.07990655376
5	2	Surface	-0.08641111004
5	3	Rhizosphere	-1.473891309
5	4	Deep	-0.4981643933
5	4	Rhizosphere	-0.6038071158
5	4	Surface	-1.295957677
5	5	Deep	2.39660205
5	5	Rhizosphere	0.5955388481
5	5	Surface	0.7741271075
5	6	Deep	0.07743722695
5	6	Rhizosphere	0.307374775
5	6	Surface	-0.2163966623
5	7	Deep	-2.266010217
5	7	Rhizosphere	-1.354103131
5	8	Deep	-1.217369088
5	8	Rhizosphere	-0.7045497637
5	9	Rhizosphere	-1.577643447
5	10	Deep	1.311346617
5	10	Rhizosphere	-1.241802591
5	11	Deep	-0.459399212
5	11	Rhizosphere	-2.191360575
5	11	Surface	-2.609909762
5	12	Deep	0.01041049396
5	12	Rhizosphere	-1.324407086
5	12	Surface	-1.827808407
5	13	Rhizosphere	-1.211166199
5	13	Surface	-2.026393304
5	14	Deep	-0.8829678339
5	14	Rhizosphere	-1.343395815
5	14	Surface	-1.885442487
5	15	Deep	-1.007772824
5	15	Rhizosphere	-1.21003437
5	15	Surface	-2.077073809
5	16	Deep	-0.4402980264
5	16	Rhizosphere	-1.05923091
5	16	Surface	-2.698562645
5	17	Deep	-1.15292656
5	17	Rhizosphere	-1.341133828
5	18	Rhizosphere	-1.424629331
5	19	Deep	-0.975055488
5	19	Rhizosphere	-1.499576498
5	19	Surface	-2.253242525
5	20	Rhizosphere	-1.308568755
5	20	Surface	-0.9640471702
5	21	Deep	-1.446424804
5	21	Rhizosphere	-1.933396398
5	21	Surface	-2.03697575
5	22	Rhizosphere	-0.4033595055
5	23	Deep	1.893382565
5	23	Rhizosphere	1.312338109
5	24	Deep	0.214691262
5	24	Rhizosphere	-0.5205889744
5	25	Deep	-0.9378456324
5	25	Rhizosphere	-2.32929474
5	25	Surface	-2.521911889
5	26	Deep	-0.03252629962
5	26	Rhizosphere	-1.027654746
5	26	Surface	-2.353196246
5	27	Deep	-0.9472282309
5	27	Rhizosphere	-0.4279435045
5	28	Deep	-1.490137595
5	28	Rhizosphere	-1.398482903
5	29	Rhizosphere	-0.3335785213
5	30	Rhizosphere	1.111687158
5	30	Surface	-0.7504340088
5	31	Deep	1.215878421
5	32	Rhizosphere	-1.333356212
5	33	Rhizosphere	-1.168122722
5	34	Deep	2.193395329
5	34	Rhizosphere	-0.6100059137
5	35	Deep	-1.271037057
5	35	Rhizosphere	-0.9765520197
5	37	Deep	-0.8622431044
5	37	Rhizosphere	0.4561969173
5	38	Rhizosphere	-1.200308407
5	38	Surface	1.697229255
5	39	Deep	0.5930248579
5	39	Rhizosphere	-1.321966071
5	39	Surface	0.4695963573
5	40	Deep	2.291033392
5	40	Rhizosphere	-0.5249111714
5	40	Surface	2.44178807
5	41	Deep	6.12245227
5	42	Rhizosphere	-1.136176733
5	42	Surface	-0.6045989004
5	43	Deep	1.051138983
5	43	Rhizosphere	-0.6398697639
5	44	Deep	0.2663012152
5	44	Rhizosphere	-0.1143356871
5	45	Deep	5.259554472
5	45	Rhizosphere	0.1246127173
5	45	Surface	0.3180448542
5	46	Rhizosphere	-0.824877177
5	47	Rhizosphere	-0.2573274673
5	48	Deep	7.957940937
5	48	Rhizosphere	3.342905424
5	49	Deep	0.3087822719
5	50	Rhizosphere	-0.9599670571
5	51	Rhizosphere	1.852142363
5	53	Rhizosphere	-1.731115845
5	54	Rhizosphere	-0.06978363797
5	55	Deep	8.119520052
5	55	Rhizosphere	6.15962904
5	55	Surface	4.860020826
5	57	Rhizosphere	-2.011044166
5	58	Rhizosphere	1.29952681
5	60	Rhizosphere	-1.005732277
