Trip	Site	Type	n_profiles	shannon	sequencing_depth	log_sequencing_depth	dna_kit	kit_recorded
3	46	Surface	1	3.281329875	58312	10.97356318	PowerSoil MoBio	true
3	47	Deep	2	4.274931783	252684	12.43989498	PowerSoil MoBio	true
3	47	Rhizosphere	4	3.643421239	548329	13.21463075	PowerSoil MoBio	true
3	47	Surface	1	2.679644107	40903	10.61895869	PowerSoil MoBio	true
3	48	Deep	3	5.23542662	539236	13.1979086	PowerSoil MoBio	true
3	48	Rhizosphere	4	4.675919888	950754	13.76501063	PowerSoil MoBio	true
3	48	Surface	3	5.100916049	531575	13.18359958	PowerSoil MoBio	true
3	49	Deep	3	4.85308495	972558	13.78768499	PowerSoil MoBio	true
3	49	Rhizosphere	3	5.591226601	1079947	13.89242252	PowerSoil MoBio	true
3	49	Surface	3	4.79871334	1081734	13.89407587	PowerSoil MoBio	true
3	50	Deep	3	5.595154379	1720774	14.35828475	PowerSoil MoBio	true
3	50	Rhizosphere	3	5.884309572	663335	13.40503542	PowerSoil MoBio	true
3	50	Surface	2	5.867827175	611246	13.32325478	PowerSoil MoBio	true
3	51	Deep	1	5.219498393	304280	12.62570361	PowerSoil MoBio	true
3	51	Rhizosphere	3	5.708759042	1194418	13.9931696	PowerSoil MoBio	true
3	51	Surface	2	5.320683031	517307	13.15639179	PowerSoil MoBio	true
3	52	Surface	4	3.732887334	362264	12.80012851	PowerSoil MoBio	true
3	53	Deep	3	3.801486939	500758	13.12387823	PowerSoil MoBio	true
3	53	Rhizosphere	1	5.849047752	459016	13.03684035	PowerSoil MoBio	true
3	53	Surface	1	4.717959326	208040	12.24548565	PowerSoil MoBio	true
3	54	Rhizosphere	1	4.541769496	309479	12.64264552	PowerSoil MoBio	true
3	55	Surface	2	4.004819964	1061555	13.87524537	PowerSoil MoBio	true
3	56	Surface	4	2.69098569	224692	12.32248585	mixed_within_group	false
3	57	Deep	2	2.756038018	187849	12.14339373	Pro	true
3	57	Rhizosphere	3	5.161235094	786313	13.57511021	Pro	true
3	57	Surface	2	2.65722256	196960	12.19075594	Pro	true
3	58	Deep	2	3.161536181	9890	9.199279425	Pro	true
3	58	Rhizosphere	3	4.797682551	715573	13.4808389	Pro	true
3	58	Surface	4	5.158208239	738942	13.51297471	Pro	true
3	59	Deep	2	3.154040943	45685	10.7295253	Pro	true
3	59	Rhizosphere	2	2.896369439	70172	11.15870465	Pro	true
3	59	Surface	4	2.71594593	175015	12.07262696	Pro	true
3	60	Rhizosphere	5	3.977044431	581397	13.27318911	Pro	true
3	60	Surface	4	5.242218999	197084	12.19138531	Pro	true
4	1	Deep	1	6.353534714	368561	12.81736151	not_recorded	false
4	1	Rhizosphere	1	4.583465013	136718	11.82567569	not_recorded	false
4	1	Surface	1	6.116664127	244296	12.40613588	not_recorded	false
4	2	Deep	1	5.964683413	211591	12.26241044	not_recorded	false
4	2	Surface	1	6.691177945	430872	12.97356634	not_recorded	false
4	3	Deep	1	6.603762924	550224	13.21808075	not_recorded	false
4	3	Rhizosphere	1	4.92729725	322317	12.68329081	not_recorded	false
