profile	role	campaign	compartment	total_reads	removed_reads	removed_read_fraction	total_features	removed_features
e8346_F8Sr2	biological	Trip3	surface	557980	22171	0.039734	1364	18
e8347_F8Sr3	biological	Trip3	surface	525361	7381	0.014049	1943	15
e8348_F8PRr1	biological	Trip3	root-adjacent	195828	1689	0.008625	2803	19
e8349_F8PRr2	biological	Trip3	root-adjacent	194259	1556	0.008010	2313	9
e8350_F8PRr3	biological	Trip3	root-adjacent	385437	2486	0.006450	3385	22
e8351_F9Dr1	biological	Trip3	deep	293173	2587	0.008824	2031	12
e8352_F9Dr2	biological	Trip3	deep	570537	4645	0.008141	2476	19
e8353_F9Dr3	biological	Trip3	deep	808904	7325	0.009055	1668	10
e8354_F9Sr1	biological	Trip3	surface	337605	2695	0.007983	2302	11
e8355_F9Sr2	biological	Trip3	surface	366893	3998	0.010897	2508	16
e8356_F9Sr3	biological	Trip3	surface	344643	3209	0.009311	2127	13
e8357_F9PRr1	biological	Trip3	root-adjacent	235844	55702	0.236182	1029	10
e8358_F9PRr2	biological	Trip3	root-adjacent	118884	2380	0.020020	830	10
e8359_F9PRr3	biological	Trip3	root-adjacent	140418	7465	0.053163	1053	12
e8360_F10Dr1	biological	Trip3	deep	395144	6509	0.016472	1836	10
e8361_F10Dr2	biological	Trip3	deep	392740	4449	0.011328	1785	10
e8362_F10Dr3	biological	Trip3	deep	895184	9199	0.010276	1494	17
e8363_F10Sr1	biological	Trip3	surface	468163	4723	0.010088	2054	14
e8364_F10Sr2	biological	Trip3	surface	502953	5945	0.011820	3266	23
e8365_F10Sr3	biological	Trip3	surface	377127	4141	0.010980	2672	19
e8366_F10PRr1	biological	Trip3	root-adjacent	163550	10959	0.067007	974	6
e8367_F10PRr2	biological	Trip3	root-adjacent	304503	15877	0.052141	1821	15
e8368_F11Dr1	biological	Trip3	deep	491207	1160	0.002362	3353	12
e8369_F11Dr2	biological	Trip3	deep	567856	903	0.001590	3129	10
e8370_F11Dr3	biological	Trip3	deep	662151	1030	0.001556	3287	12
e8371_F11Sr1	biological	Trip3	surface	217217	794	0.003655	631	8
e8372_F11Sr2	biological	Trip3	surface	1590916	1829	0.001150	1637	5
e8373_F11Sr3	biological	Trip3	surface	618608	1826	0.002952	1652	4
e8374_F1PRr2	biological	Trip3	root-adjacent	68130	2153	0.031601	914	8
e8375_F11PRr1	biological	Trip3	root-adjacent	295163	1900	0.006437	2417	8
e8376_F12Sr3	biological	Trip3	surface	341036	1801	0.005281	2375	14
e8377_F13Sr2	biological	Trip3	surface	432646	625	0.001445	1809	5
e8378_F14Sr1	biological	Trip3	surface	348877	4376	0.012543	1798	15
e8379_F15Dr3	biological	Trip3	deep	199851	1401	0.007010	1604	5
e8380_F16Dr2	biological	Trip3	deep	199855	2264	0.011328	2086	18
e8381_F17Dr1	biological	Trip3	deep	1009475	1908	0.001890	2678	15
e8382_F17PRr3	biological	Trip3	root-adjacent	116812	244	0.002089	1277	6
e8383_F18PRr2	biological	Trip3	root-adjacent	659928	243	0.000368	2306	6
e8384_F19PRr1	biological	Trip3	root-adjacent	149999	1780	0.011867	858	1
e8385_F20Sr3	biological	Trip3	surface	335302	516	0.001539	1741	8
e8386_F21Sr2	biological	Trip3	surface	297009	0	0.000000	877	0
e8387_F11PRr2	biological	Trip3	root-adjacent	367593	882	0.002399	2839	9
e8388_F12PRr1	biological	Trip3	root-adjacent	175452	3573	0.020365	1715	3
e8389_F13Sr3	biological	Trip3	surface	437309	219	0.000501	2369	5
e8390_F14Sr2	biological	Trip3	surface	134620	1303	0.009679	1626	12
e8391_F15Sr1	biological	Trip3	surface	69531	579	0.008327	1084	3
e8392_F16Dr3	biological	Trip3	deep	423880	3553	0.008382	2618	18
e8393_F17Dr2	biological	Trip3	deep	349658	2074	0.005932	2746	9
e8394_F18Dr1	biological	Trip3	deep	602210	1527	0.002536	1958	8
e8395_F18PRr3	biological	Trip3	root-adjacent	609880	403	0.000661	1303	4
e8396_F19PRr2	biological	Trip3	root-adjacent	240223	3978	0.016560	1135	3
e8397_F20PRr1	biological	Trip3	root-adjacent	426599	4616	0.010820	2404	23
